claim_id,claim_text,source_file,source_page,classification,evidence,conflict_details,recommended_action,safe_to_remain_visible_temporarily
C001,12k+ Graduates,index.html,Homepage (stats section),DO_NOT_PUBLISH,No supporting data found in any repository file. Extraordinary figure for a single-branch center in Amman.,Claim inconsistent with single-branch status stated in project brief.,REMOVE,NO
C002,50+ Native Tutors,index.html,Homepage (stats section),DO_NOT_PUBLISH,No supporting data. Extraordinary for one center.,Inconsistent with scope of a single-branch academy.,REMOVE,NO
C003,98% Success Rate,index.html,Homepage (stats section),DO_NOT_PUBLISH,Success not defined. No methodology or data provided.,No baseline or measurement definition found anywhere on the site.,REMOVE,NO
C004,24/7 Global Support,index.html,Homepage (stats section),DO_NOT_PUBLISH,WhatsApp on contact page says available 9am–5pm. 24/7 directly contradicts this.,CONFLICT with contact page hours.,REMOVE,NO
C005,6 Months To C1 Fluency,index.html,Homepage (learning journey — Step 4),DO_NOT_PUBLISH,Implies a guarantee. No CEFR methodology or timeline evidence provided.,Fluency timelines vary significantly per individual. Guarantee language is problematic.,REMOVE,NO
C006,"Maria Gonzales — Marketing Director, Madrid",index.html,Homepage (testimonials),EVIDENCE_REQUIRED,No photo (color gradient used). Madrid location inconsistent with Amman-based center. Testimonial references 'English Masters Academy' — a different business name.,References wrong academy name. Geographic inconsistency.,REMOVE,NO
C007,"Hiroshi Tanaka — Software Engineer, Tokyo",index.html,Homepage (testimonials),EVIDENCE_REQUIRED,No photo. Tokyo location inconsistent with local single-branch center. No verification available.,Geographic inconsistency.,REMOVE,NO
C008,Testimonial quote references 'English Masters Academy completely changed my career path',index.html,Homepage (testimonials — slide 1),EVIDENCE_REQUIRED,References 'English Masters Academy' not 'Edu Creativity Center'. Strong evidence this is placeholder template content.,Wrong business name in the testimonial copy.,REMOVE,NO
C009,Dr. Sarah Jensen — Head of Curriculum,about.html,About page (leadership team),DO_NOT_PUBLISH,Photo sourced from lh3.googleusercontent.com/aida-public/ (Google AI image generation service). AI-generated photo confirmed. Name cannot be verified without owner input.,Photo is AI-generated. Name unverified.,REMOVE,NO
C010,Marcus Chen — Lead English Instructor,about.html,About page (leadership team),DO_NOT_PUBLISH,Same as C009. AI-generated photo confirmed.,Same conflict.,REMOVE,NO
C011,Elena Rodriguez — Student Success Coach,about.html,About page (leadership team),DO_NOT_PUBLISH,Same as C009. AI-generated photo confirmed.,Same conflict.,REMOVE,NO
C012,David Wilson — Technology & Innovation,about.html,About page (leadership team),DO_NOT_PUBLISH,Same as C009. AI-generated photo confirmed.,Same conflict.,REMOVE,NO
C013,Certified Excellence badge,about.html,About page,DO_NOT_PUBLISH,No certifying body identified on the page or in any repository file.,Unknown accreditation body.,REMOVE,NO
C014,4 partner logo images — Trusted by learners from global companies,courses.html,Courses page,DO_NOT_PUBLISH,Images from lh3.googleusercontent.com/aida-public/. AI-generated. No company names visible or identifiable. No partnership agreement referenced.,Cannot confirm any real partnership.,REMOVE,NO
C015,Verified Certificates Included,index.html,Homepage,DO_NOT_PUBLISH,"Type of certificate, issuing body, and recognition scope not specified anywhere.",No certificate details anywhere.,REMOVE,NO
C016,Verify your skills with global standards,index.html,Homepage,DO_NOT_PUBLISH,No accrediting body named. 'Global standards' is unspecified.,No evidence of external accreditation.,REMOVE,NO
C017,World-Class Curriculum badge,courses.html,Courses page,DO_NOT_PUBLISH,No evidence of external curriculum quality assessment.,No measurement of 'world-class' provided.,REMOVE,NO
C018,AI pronunciation tools — Instant corrections from native tutors and AI pronunciation tools,index.html,Homepage (features section),DO_NOT_PUBLISH,No evidence of AI tools in use. May be aspirational/template content.,Cannot verify without owner confirmation.,REMOVE,NO
C019,Proprietary immersion method,index.html,Homepage,DO_NOT_PUBLISH,No description of the method found anywhere. May be marketing language.,Cannot verify without owner confirmation.,REMOVE,NO
