page_name,en_url,ar_url,hreflang_en_tag,hreflang_ar_tag,hreflang_x_default_tag,canonical_en,canonical_ar,language_switcher_target_en,language_switcher_target_ar,implementation_status,notes
Homepage,/en/,/ar/,"<link rel=""alternate"" hreflang=""en"" href=""https://DOMAIN/en/"" />","<link rel=""alternate"" hreflang=""ar"" href=""https://DOMAIN/ar/"" />","<link rel=""alternate"" hreflang=""x-default"" href=""https://DOMAIN/"" />",https://DOMAIN/en/,https://DOMAIN/ar/,/en/,/ar/,NOT IMPLEMENTED,x-default at root requires language detection or a neutral landing page. Both hreflang tags must appear on BOTH language pages.
About,/en/about/,/ar/about/,"<link rel=""alternate"" hreflang=""en"" href=""https://DOMAIN/en/about/"" />","<link rel=""alternate"" hreflang=""ar"" href=""https://DOMAIN/ar/about/"" />",,https://DOMAIN/en/about/,https://DOMAIN/ar/about/,/en/about/,/ar/about/,NOT IMPLEMENTED,Arabic page cannot be built until real staff content is confirmed.
Courses Overview,/en/courses/,/ar/courses/,"<link rel=""alternate"" hreflang=""en"" href=""https://DOMAIN/en/courses/"" />","<link rel=""alternate"" hreflang=""ar"" href=""https://DOMAIN/ar/courses/"" />",,https://DOMAIN/en/courses/,https://DOMAIN/ar/courses/,/en/courses/,/ar/courses/,NOT IMPLEMENTED,Arabic page requires confirmed course facts.
Kids English Adventure,/en/courses/kids-english-adventure/,/ar/courses/kids-english-adventure/,"<link rel=""alternate"" hreflang=""en"" href=""https://DOMAIN/en/courses/kids-english-adventure/"" />","<link rel=""alternate"" hreflang=""ar"" href=""https://DOMAIN/ar/courses/kids-english-adventure/"" />",,https://DOMAIN/en/courses/kids-english-adventure/,https://DOMAIN/ar/courses/kids-english-adventure/,/en/courses/kids-english-adventure/,/ar/courses/kids-english-adventure/,NOT IMPLEMENTED,Arabic requires confirmed course facts including target age range.
Comprehensive Mastery,/en/courses/comprehensive-mastery/,/ar/courses/comprehensive-mastery/,"<link rel=""alternate"" hreflang=""en"" href=""https://DOMAIN/en/courses/comprehensive-mastery/"" />","<link rel=""alternate"" hreflang=""ar"" href=""https://DOMAIN/ar/courses/comprehensive-mastery/"" />",,https://DOMAIN/en/courses/comprehensive-mastery/,https://DOMAIN/ar/courses/comprehensive-mastery/,/en/courses/comprehensive-mastery/,/ar/courses/comprehensive-mastery/,NOT IMPLEMENTED,Arabic requires confirmed course facts.
1-on-1 Personalized,/en/courses/1-on-1-personalized/,/ar/courses/1-on-1-personalized/,"<link rel=""alternate"" hreflang=""en"" href=""https://DOMAIN/en/courses/1-on-1-personalized/"" />","<link rel=""alternate"" hreflang=""ar"" href=""https://DOMAIN/ar/courses/1-on-1-personalized/"" />",,https://DOMAIN/en/courses/1-on-1-personalized/,https://DOMAIN/ar/courses/1-on-1-personalized/,/en/courses/1-on-1-personalized/,/ar/courses/1-on-1-personalized/,NOT IMPLEMENTED,Arabic requires confirmed course facts.
Contact,/en/contact/,/ar/contact/,"<link rel=""alternate"" hreflang=""en"" href=""https://DOMAIN/en/contact/"" />","<link rel=""alternate"" hreflang=""ar"" href=""https://DOMAIN/ar/contact/"" />",,https://DOMAIN/en/contact/,https://DOMAIN/ar/contact/,/en/contact/,/ar/contact/,NOT IMPLEMENTED,Phone and address must be confirmed before Arabic contact page is built.
FAQ (planned),/en/faq/,/ar/faq/,"<link rel=""alternate"" hreflang=""en"" href=""https://DOMAIN/en/faq/"" />","<link rel=""alternate"" hreflang=""ar"" href=""https://DOMAIN/ar/faq/"" />",,https://DOMAIN/en/faq/,https://DOMAIN/ar/faq/,/en/faq/,/ar/faq/,NOT IMPLEMENTED — PLANNED,Page does not yet exist. Requires FAQ content from owner.
Placement Test Info (planned),/en/placement-test/,/ar/placement-test/,"<link rel=""alternate"" hreflang=""en"" href=""https://DOMAIN/en/placement-test/"" />","<link rel=""alternate"" hreflang=""ar"" href=""https://DOMAIN/ar/placement-test/"" />",,https://DOMAIN/en/placement-test/,https://DOMAIN/ar/placement-test/,/en/placement-test/,/ar/placement-test/,NOT IMPLEMENTED — PLANNED,Page does not yet exist. Requires confirmed placement test process.
Registration,/register/,/register/ (same page — Arabic),NOT APPLICABLE — noindex page,NOT APPLICABLE — noindex page,NOT APPLICABLE,https://DOMAIN/register/,https://DOMAIN/register/,Not applicable,Not applicable,NOT IMPLEMENTED — needs noindex added,Single page serves Arabic speakers. No English registration page exists. Should not be in hreflang pair. Must have noindex added.
